Name,Crew,PY,pursuitStartTime
2.3,0,2000,0
2000,2,1118,660
29ER,2,895,1230
303 Double,0,1630,0
303 Single,0,1630,0
420,2,1100,690
505,2,896,1230
ALBACORE,2,1037,870
ALTO,2,921,1110
B14,2,853,1260
BLAZE,1,1033,870
BRITISH MOTH,1,1165,540
BYTE C1,1,1217,390
BYTE CII,1,1132,600
COMET,1,1210,420
COMET TRIO (MK I),2,1092,720
COMET TRIO (MK II),2,1050,840
COMET VERSA,2,1175,510
CONTENDER,1,966,1050
DEVOTI D-ONE,1,950,1080
DEVOTI D-ZERO,1,1032,870
ENTERPRISE,2,1133,600
EUROPE,1,1147,570
FINN,1,1047,840
FIREBALL,2,955,1080
FIREFLY,2,1174,510
FLYING FIFTEEN,2,1026,900
GP14,2,1138,600
GRADUATE,2,1110,660
HADRON H2,1,1045,840
HORNET,2,959,1080
ICON,2,976,1020
ILCA 4 / Laser 4.7,1,1213,390
ILCA 6 / Laser Radial,1,1154,570
ILCA 7 / Laser,1,1102,690
K1,1,1070,780
K6,2,915,1200
KESTREL,2,1035,870
LARK,2,1062,810
LASER II,2,1085,750
LASER PICO,1,1330,90
LASER STRATOS,2,1103,690
liberty,0,1480,0
LIGHTNING 368,1,1160,540
MEGABYTE,1,1068,780
MERLIN-ROCKET,2,983,930
MIRACLE,2,1200,420
MIRROR (D/H),2,1380,0
MIRROR (S/H),1,1370,0
MUSTO SKIFF,1,837,1320
NATIONAL 12 (1-1152),2,1170,510
NATIONAL 12 (1153-2073),2,1145,570
NATIONAL 12 (2074-2511),2,1135,600
NATIONAL 12 (2512-3100),2,1130,630
NATIONAL 12 (3101-3414),0,1104,690
NATIONAL 12 (3415-3518),2,1095,0720
NATIONAL 12 (3519 +),2,1070,810
OK,1,1100,690
OPTIMIST,1,1628,0
OSPREY,2,937,1140
PHANTOM,1,1000,960
ROOSTER 8.1,1,1025,900
RS 100,1,999,960
RS 200,2,1046,840
RS 300,1,965,1050
RS 400,2,939,1110
RS 500,2,963,1050
RS 600,1,917,0
RS 700,1,845,0
RS 800,2,799,0
RS AERO 5,1,1141,600
RS AERO 6,1,1102,690
RS AERO 7,1,1061,810
RS AERO 9,1,1008,930
RS FEVA XL,2,1244,330
RS QBA,1,1293,180
RS TERA PRO,1,1364,0
RS TERA SPORT,1,1445,30
RS VAREO,1,1093,720
RS Venture,0,1112,660
RS VISION,2,1139,600
RS Zest,1,1260,180
SCORPION,2,1043,840
SEAFLY,2,1074,780
Shelly Moth,1,1135,600
SOLO,1,1142,600
SOLUTION,1,1105,690
STREAKER,1,1124,630
SUPERNOVA,1,1075,750
TASAR,2,1015,930
TOPPER,1,1369,0
TOPPER 4.2,1,1425,0
WANDERER,2,1188,480
WAYFARER,2,1109,660