Name,Crew,PY
420,2,1100
2000,2,1114
29ER,2,897
505,2,900
ALBACORE,2,1037
ALTO,2,921
B14,2,858
BLAZE,1,1033
BRITISH MOTH,1,1165
BYTE CII,1,1135
COMET,1,1210
COMET TRIO (MK I),2,1096
COMET TRIO (MK II),2,1052
CONTENDER,1,969
DEVOTI D-ONE,1,948
DEVOTI D-ZERO,1,1029
ENTERPRISE,2,1126
EUROPE,1,1141
FINN,1,1049
FIREBALL,2,952
FIREFLY,2,1174
FLYING FIFTEEN,2,1021
GP14,2,1133
GRADUATE,2,1120
HADRON H2,1,1038
HORNET,2,959
ICON,2,976
ILCA 4 / Laser 4.7,1,1210
ILCA 6 / Laser Radial,1,1150
ILCA 7 / Laser,1,1101
K1,1,1070
K6,2,919
KESTREL,2,1038
LARK,2,1065
LIGHTNING 368,1,1160
MEGABYTE,1,1072
MERLIN-ROCKET,2,980
MIRACLE,2,1194
MIRROR (D/H),2,1387
MIRROR (S/H),1,1377
MUSTO SKIFF,1,845
NATIONAL 12,2,1064
OK,1,1104
OPTIMIST,1,1635
OSPREY,2,934
PHANTOM,1,1002
ROOSTER 8.1,1,1035
RS 100,1,1002
RS 200,2,1046
RS 300,1,965
RS 400,2,940
RS 500,2,966
RS 600,1,920
RS 700,1,845
RS 800,2,799
RS AERO 5,1,1136
RS AERO 7,1,1063
RS AERO 9,1,1010
RS FEVA XL,2,1248
RS TERA PRO,1,1364
RS TERA SPORT,1,1445
RS VAREO,1,1093
RS VISION,2,1137
SCORPION,2,1043
SEAFLY,2,1071
SOLO,1,1142
SOLUTION,1,1096
STREAKER,1,1128
SUPERNOVA,1,1077
TASAR,2,1017
TOPPER,1,1369
WANDERER,2,1193
WAYFARER,2,1105